ID,ID_code,IDLab,Tto,sex,corral
M3,M178,947,control,M,5
M4,M191,945,control,M,5
M5,F829,943,control,F,5
M6,F823,942,control,F,5
M7,F842,941,control,F,5
M8,M376,944,control,M,5
M9,M353,940,control,M,5
M10,F850,946,control,F,5
M11,M997,991,control,M,7
M12,M329,993,control,M,7
M13,F830,987,control,F,7
M15,F4936,988,control,F,7
M16,F855,986,control,F,7
M17,M362,989,control,M,7
M18,M209,992,control,M,7
M20,F832,957,control,F,3
M21,M452,961,control,M,3
M22,F851,962,control,F,3
M23,M492,960,control,M,3
M24,F809,956,control,F,3
M25,F820,958,control,F,3
M26,M904,955,control,M,3
M27,M195,959,control,M,3
M28,F835,985,stress,F,8
M29,M380,950,stress,M,4
M30,F844,951,stress,F,4
M31,M5288,953,stress,M,4
M32,F819,954,stress,F,4
M33,M644,948,stress,M,4
M34,F817,949,stress,F,4
M35,M976,976,control,M,9
M36,M194,979,stress,M,8
M37,M902,978,stress,M,8
M38,F834,982,stress,F,8
M39,M158,981,stress,M,8
M40,F814,980,stress,F,8
M41,F815,984,stress,F,8
M42,M642,983,stress,M,8
M43,F818,934,stress,F,6
M44,M249,952,stress,M,4
M47,F848,965,stress,F,10
M49,F837,967,stress,F,10
M50,F816,968,stress,F,10
M51,M646,969,stress,M,10
M52,M424,964,stress,M,10
M53,F839,966,stress,F,10
M60,F831,973,control,F,9
M62,M415,935,stress,M,6
M63,M267,937,stress,M,6
M66,F824,938,stress,F,6
M67,M917,939,stress,M,6